aback                                    смущенный,захваченный врасплох
high level language                      язык высокого уровня.
high level protocol                      протокол высокого уровня.
high noon                                самый полдень
high seas                                открытое море
high water                               полная вода
high wind                                сильный ветер
high words                               перебранка
high-level goal                          цель верхнего уровня.
high-order digit                         старший разряд.
high-order position                      старшая позиция.Самая левая позиция в слове или строке.
high-performance                         быстродействующий.
high-resolution mode                     графический режим с высоким разрешением.
high-speed                               быстродействующий.
high-speed carry                         ускоренный перенос.
highball                                 стакан виски с содовой водой
highlander                               (шотландский) горец
highlands                                горная страна,горы северной шотландии
highlight                                выделять.
highlighting                             выделение.Выделение части текста или графического изображения на экране дисплея яркостью, цветом или миганием.
highly                                   очень,в высшей степени
highness                                 высочество (титул)
highway                                  большая дорога,шоссе
highway                                  шина
highwayman                               разбойник с большой дороги
hike                                     совершать длинный путь пешком,пешеходная экскурсия
hilarius                                 веселый,шумный
hill                                     холм,возвышенность
hillock                                  холмик,бугор
hillside                                 склон горы
hilly                                    холмистый
hilt                                     рукоятка (сабли,кинжала)
him                                      его,ему
himalayas                                гималаи
himself                                  себя,сам
hind I                                   лань
hind II                                  задний (о ногах и лапах животного,о колесах)
hinder I                                 задний
hinder II                                мешать,препятствовать (выполнению чего либо)
hindi                                    хинди (язык)
hindmost                                 самый задний,последний
hindoo                                   индус,индусский
hindrance                                помеха
hindsight                                задним умом крепок
hindu                                    индус,индусский
hindustan                                индостан
hinge I                                  зависеть от
hinge II                                 петля (на двери),шарнир (в машине),прикреплять (на петлях)
hint                                     намек,намекать
hint at                                  намекать на
hinterland                               районы вглубь от прибрежной полосы или границы
hip                                      бедро
hip hurrah                               ура
hip pocket                               задний карман
hippodrome                               ипподром
hippopotamus                             гиппопотам
hire I                                   нанимать (работника),брать напрокат (вещь),сдавать внаем
hire II                                  наем,наемная плата
hireling                                 наемник
hiroshima                                хиросима
hirsute                                  волосатый
his                                      его,свой,своя,свое,свои
hiss                                     шипеть,освистать (в театре),шипение,свист
historian                                историк
historic                                 исторический,имеющий историческое значение
historical                               исторический,относящийся к истории
historical approach                      исторический подход
history I                                предыстория (материала),характер протекания (процесса)
history II                               история,изменение по времени
histrionic                               драматический,театральный
hit                                      совпадение (при поиске в базе данных).
hit I                                    ударять,удариться,попадать в цель,найти,натолкнуться
hit II                                   удар,попадание,(большой) успех,удача,выпад,ядовитое замечание
hit it                                   попасть в точку,угадать
hit it off with smb                      ладить с кем либо
hit or miss                              как попало
hit rate                                 коэффициент совпадения.
hit the right nail on the head           попасть в точку,угадать
hitch I                                  подтягивать,прицеплять (крючком),прицерляться,зацепляться
hitch II                                 толчок,узел,задержка,помеха
hitch hike                               бесплатно проехать на попутной машине
hither                                   сюда
hither and thither                       то туда,то сюда
hitherto                                 до сих пор,прежде
hive                                     улей,сажать пчел в улей
hive off                                 отделиться,выделиться (в дочернее предприятие)
hives                                    крапивница (
hoar                                     иней,седой
hoar frost                               иней,изморозь
hoard                                    запас,откладывать
hoarding                                 временный забор (вокруг строящегося дома)
hoarse                                   хриплый
hoary                                    покрытый инеем,седой
hoax                                     подшучивать,мистифмкация,розыгрыш
hob                                      полка,выступ в камине для разогревания пищи
hob nob                                  пить вместе,общаться
hobble                                   хромать,стреножить (лошадь)
hobby                                    излюбленное занятие,конек,хобби
hobby horse                              палочка с головой лошади (игрушка)
hobgoblin                                домовой,пугало
hobnailed boots                          горные ботинки
hobo                                     бродяга
hock I                                   поджилки
hock II                                  рейнвейн
hockey                                   хоккей
hocus pocus                              фокус покус,надувательство
hodge podge                              суп из мяса и овощей,всякая всячина
hoe                                      мотыга,мотыжить
hog                                      свинья
hog it                                   обжираться
hogmanay                                 канун нового года
hogshead                                 большая бочка,мера жидкости (около двухсот сорока литров)
hoist                                    поднимать (парус,флаг,груз),подъемник,подсаживание
hoist in                                 поднять на борт
hoity toity                              надменный
hold I                                   держать,вмещать,придерживаться (мнения),оборонять,владеть,иметь
hold II                                  трюм
hold III                                 проводить (собрание,демонстрацию),иметь силу (о законе)
hold IV                                  держать в тюрьме,владение,захват,власть,влияние
hold against smb                         иметь претензию к кому либо
hold back                                воздерживаться,сдерживаться,удерживать,сдерживать
hold dear                                дорожить
hold down                                держать в подчинении
hold forth                               разглагольствовать
hold good                                остаться в силе
hold in esteem                           уважать
hold off                                 держаться поодаль
hold on                                  держаться (за что либо),подождите
hold ones ground I                       сохранять достоинство или самообладание
hold ones ground II                      сохранять свои позиции
hold ones own                            сохранять свои позиции,сохранять достоинство или самообладание
hold oneself ready                       быть наготове
hold out                                 держаться,не сдавться,выдержать,протягивать (руку)
hold over                                отложить
hold up I                                поддерживать,выставлять,задерживать,останавливать,грабить
hold up II                               налет,вооруженное ограбление (на улице,дороге)
holdall                                  портплед,вещевой мешок
holdback                                 задержка
holder                                   владелец,держатель,обладатель (приза),ручка,рукоятка,патрон
holding                                  хранение (данных)
holding                                  владение (акциями)
hole                                     дыра,отверстие,углубление,яма,нора (зверя),продырявливать
holiday                                  праздник,каникулы,праздничный,каникулярный
holiness                                 святость
holland                                  голландия
hollo                                    кричать,звать
holloa                                   кричать,звать
hollow I                                 неискренний,голодный,впадина,углубление,дупло,выдалбливать
hollow II                                пустой,полый,впалый (о щеках),глухой (о звуке)
holly                                    остролист
hollyhock                                алтей
hollywood                                голливуд
holocaust                                полное уничтожение
holster                                  кобура
holy                                     святой
holy writ                                библия
holystone                                мягкий песчаник (для чистки палубы)
homage                                   почтение,уважение
home                                     начало (экрана). Левый верхний угол экрана дисплея.
home I                                   домой,(точно) в цель
home II                                  дом (место постоянного жительства),родина,дом (инвалидов)
home III                                 домашний,родной (о городе),внутренний (о торговле)
home address                             собственный адрес.
home army                                армия метрополии
home block                               начальный блок.
home computer                            бытовая ЭВМ, домашняя ЭВМ.
home fleet                               флот метрополии
home grown                               домашний,местного производства
home location                            ячейка основной области; основная область.
home office                              министерство внутренних дел
home page                                адресная страница, то есть начало серии документов, открытых в сети для доступа
home position                            начальная позиция.
home record                              начальная запись.Первая запись в файле или на магнитной ленте.
home sick                                тосковать по родине,дому
home stead                               усадьба,участок (поселенца)
home truth                               горькая истина
homicide                                 убийца,убийство
homily                                   проповедь
hominy                                   мамалыга
homogeneous                              однородный
honduras                                 гондурас
honest                                   честный,искренний
honesty                                  честность
honey                                    мед,милый,милая (в обращении)
honeycomb                                медовые соты,свищ
honeycombed                              пористый
honeymoon                                медовый месяц
honeysuckle                              жимолость
hong kong                                гонконг
honk                                     крик диких гусей,звук автомобильной сирены
honor                                    обслуживать (о запросе, прерывании).
honor                                    честь,почести,уважать,удостаивать,оплатить (чек)
honorary                                 почетный,неоплачиваемый
honorific                                относящийся к формам вежливости
honour                                   честь,почести,уважать,удостаивать,оплатить (чек)
honourable                               честный,почетный
hooch                                    спиртной напиток
hood                                     капюшон,капор,колпак
hoodlum                                  хулиган
hoodwink                                 обманывать,дурачить
hoof                                     копыто
hoofed                                   копытное
hook I                                   ловить,поймать (рыбу)
hook II                                  крючок,цеплять крючком,застегивать (на крючок)
hook nosed                               с орлиным носом
hooked                                   кривой
hooligan                                 хулиган
hoop I                                   обруч,скреплять обручем,ворота (в крокете)
hoop II                                  обод,кольцо,стягивать ободом или кольцом
hooping cough                            коклюш
hoot                                     кричать (о сове),совиный крик,освистывание,давать гудок
hoot down                                освистывать (актера)
hoot with laughter                       разразиться громким смехом
hooter                                   сирена,гудок
hoots of laughter                        громкий смех
hop                                      прыгать,прыжок,танец,хмель
hop                                      ретрансляция (сообщения в сети передачи данных).
hope                                     надежда,надеяться
hopeful                                  надеющийся,многообещающий
hopeless                                 безнадежный
hopscotch                                классы (детская игра)
horde                                    орда,стая,рой (насекомых),ватага,шайка,толпы,полчища (народа)
horizon                                  горизонт
horizontal                               горизонталь,горизонтальный
horizontal microinstruction              горизонтальная микрокоманда.
horizontal microprogramming              горизонтальное микропрограммирование.
horizontal parity                        поперечный контроль четности.
horizontal processor                     горизонтальный процессор;процессор с горизонтальным микропрограммированием.
horizontal redundancy check              поперечный контроль.
horn I                                   мыс горн
horn II                                  рог,усик (насекомого),гудок,рожок (муз инструмент)
hornbeam                                 граб (дерево)
hornet                                   шершень (зоол)
horny                                    роговой,мозолистый
horrible                                 ужасный
horrid                                   страшный,ужасный (разг)
horrify                                  приводить в ужас
horror                                   ужас,отвращение
horse                                    лошадь,конь
horse radish                             хрен
horseback                                верхом
horsecollar                              хомут
horseman                                 всадник
horsepower                               лошадиная сила (тех)
horseshoe                                подкова
horsewoman                               всадница,амазонка
horticultuist                            садовод
horticulture                             садоводство
hose                                     чулки,шланг,кишка
hosiery                                  трикотаж,чулочные изделия
hospitable                               гостеприимный
hospital                                 больница,госпиталь
hospitality                              гостеприимство
host                                     хозяин,сонм,множество
host communications                      связь с главной ЭВМ.
host computer                            главная ЭВМ, рабочая ЭВМ, инструментальная ЭВМ.
host language                            включающий язык.
host system                              главная ЭВМ.
hostage                                  заложник
hostel                                   овщежитие
hostess                                  хозяйка (дома)
hostile                                  враждебный,неприятельский
hostility                                враждебность,боевые действия
hot I                                    горячо,жарко,пылко
hot II                                   горячий,жаркий,пылкий,острый (о пище),свежий (о следе)
hot blooded                              страстный,горячий
hot dog                                  бутерброд с горячей сосиской (амер)
hot headed                               горячий,вспыльчивый
hot potato routing                       метод скорейшей передачи.
hot spare                                "горячее" резервирование
hot standby                              "горячее" резервирование
hotbed                                   парник,рассадник
hotchpotch                               суп из мяса и овощей,всякая всячина
hotel                                    гостиница,отель
hothouse                                 теплица
hound                                    гончая собака,мерзавец,травить собаками,преследовать
hour                                     час
hourly                                   ежечастный,почасовой (об оплате),ежечасно
house I                                  династия (королевская)
house II                                 обеспечивать жильем,приютить,помещать,располагать
house III                                дом,палата (в парламенте),сеанс (в кино),сбор (театр)
house warming                            празднование новоселья
household                                домашние (семья),хозяйство
housekeeper                              экономка
housekeeping                             домашнее хозяйство
housekeeping                             служебные действия (управление памятью, организация ввода-вывода и т.п.)
housekeeping information                 служебная информация;административная информация
housekeeping overhead                    системные затраты
housekeeping routine                     служебная программа;административная программа
housemaid                                горничная
housewife                                домашняя хозяйка
housing                                  жилищное строительство,обеспечение жильем
hove                                     прош от вздыматься,поднимать,тянуть (мор)
hovel                                    лачуга
hover                                    парить (о птице),держаться поблизости,быть на подхвате
hover about                              слоняться
how                                      как
how do you do                            как вы поживаете
however                                  однако,тем не менее,как бы ни
howitzer                                 гаубица
howl                                     выть,завывать,завывание
howler                                   грубейшая,глупейшая ошибка (разг)
hoy                                      эй
hub                                      ступица (колеса),центр (чего-л)
hubbub                                   гам,шум
hubby                                    муженек (разг)
huckleberry                              черника
huckster                                 разносчик
huddle                                   груда,свалка,толпа,жаться,толпиться,ежиться
hudson                                   гудзон
hue                                      оттенок цвета, цвет
hue                                      оттенок,шум
huff                                     обижаться
huffy                                    обидчивый
hug                                      обнимать,держаться чего-л,крепкое объятие
huge                                     огромный
hugely                                   очень
hugger mugger                            тайно,беспорядочно
hulk                                     корпус,остов корабля,большой,неуклюжий человек
hulking                                  неуклюжий
hull                                     шелуха,кожура,очищать,лущить,корпус (корабля и т д)
hullo                                    алло
hum                                      жужжать,напевать про себя,мямлить,колебаться,развивать деятельность
human                                    человеческий
human engineering                        инженерная психология
humane                                   человечный,гуманитарный
humanism                                 гуманность,гуманизм
humanitarian                             гуманист,гуманитарный
humanity                                 человечество,гуманность,человечность
humble                                   покорный,смиренный,скромный (о вещи),унижать,смирять
humble bee                               шмель
humbug                                   надувательство,обманщик,обманывать
humdrum                                  скучный,банальный
humid                                    влажный,сырой
humidity                                 влажность,сырость
humiliate                                унижать
humiliation                              унижение
humility                                 скромность,смирение
hummock                                  пригорок,холмик
humor                                    юмор,настроение,ублажать,потворствовать
humorist                                 юморист
humorous                                 юмористический,забавный
humour                                   юмор,настроение,ублажать,потворствовать
hump                                     горб
humpback                                 горбун
humpbacked                               горбатый
humus                                    перегной
hunch                                    сгибать,горбить,горб,толстый кусок,подозрение,предчувствие
hunchbacked                              горбатый
hundred                                  сотня
hundredfold                              стократный
hundredth                                сотый
hundredweight                            центнер
hung                                     прош и прич от висеть,вешать,оклеивать
hung about                               прош и прич от держаться неподалеку,быть на подхвате
hung around                              прош и прич от держаться неподалеку,быть на подхвате
hung back                                прош и прич от колебаться,не вызваться добровольно
hung out                                 прош и прич от высовываться
hung up                                  прош и прич от повесить телефонную трубку,медлить,откладывать
hungarian                                венгр,венгерка,венгерский язык,венгерский
hungarian peoples republic               венгрия
hungary                                  венгрия
hunger                                   голод,жажда (чего-л),испытывать чувство голода
hunger strike                            голодовка (как протест)
hungry                                   голодный
hunk                                     толстый кусок
hunt                                     охотиться охота,погоня,поиски (работы)
hunt down                                выследить,поймать
hunt out                                 выискивать,разыскивать
hunt up                                  выискивать,разыскивать
hunter                                   охотник
hunting                                  охота,охотничий
huntsman                                 егерь,охотник
hurdle                                   переносная загородка,барьер
hurdle race                              барьерный бег
hurdy gurdy                              шарманка
hurl                                     швырять,резкий бросок
hurly burly                              смятение
hurrah                                   ура
hurricane                                ураган
hurriedly                                наспех
hurry                                    торопить,торопиться,спешка,торопливость
hurt I                                   болеть (о руке),ущерб,вред
hurt II                                  повредить,причинять боль,задевать,обижать
hurtful                                  вредный
hurtle                                   сталкиваться,нестись,мчаться
husband                                  муж,относиться по хозяйски,тратить экономно
husbandry                                хозяйство,земледелие
hush                                     водворять тишину
hush money                               взятка за молчание
hush up                                  замять (дело),замалчивать
husk                                     шелуха,скорлупа,снимать шелуху
husky                                    полный шелухи,хриплый,рослый,сильный (разг)
hussar                                   гусар
hussy                                    нахальная девка
hustle                                   толкать,проталкиваться,действовать,толкотня,деятельность
hut                                      хижина,лачуга
hutch                                    клетка,ларь,сундук
hwang ho                                 хуанхе
hybrid                                   гибрид,помесь,гибридный,смешанный
hydra                                    гидра
hydrangea                                гортензия
hydrant                                  водоразборный кран
hydrate                                  гидрат (хим)
hydraulic                                гидравлический
hydraulics                               гидравлика
hydrocarbon                              углеводород (хим)
hydrogen                                 водород
hydropathic                              водолечебница,водолечебный
hydrophobia                              водобоязнь,бешенство
hydroplane                               гидроплан
hyena                                    гиена
hygiene                                  гигиена
hygroscopic                              гигроскопический
hymn                                     церковный гимн
hyperbole                                гипербола
hyperbolical                             преувеличенный
hyperborean                              житель крайнего севера
hypercritical                            придирчивый
hypersonic                               сверхзвуковой
hyphanation                              перенос, разделение слов для переноса
hyphen                                   дефис,соед черточка,писать через дефис
hyphenate                                дефис,соед черточка,писать через дефис
hypnosis                                 гипноз
hypnotic                                 гипнотический,снотворный,наркотический
hypnotize                                гипнотизировать
hypocrisy                                лицемерие
hypocrite                                лицемер
hypodermic                               подкожкый
hypothesis                               гипотеза
hypothetical                             гипотетический
hysteria                                 истерия
hysterical                               истерический
hysterics                                истерика
i                                        я
i/o limited program                      программа, скорость работы которой ограничена скоростью работы устройств ввода-вывода
iAPX                                     префикс кода микропроцессоров фирмы Intel
ibidem                                   там же
icand                                    множимое
ice                                      лед,мороженое,замораживать,покрывать сахарной глазурью
ice age                                  ледниковый период
ice box                                  комнатный ледник
ice breaker                              ледокол
ice cream                                мороженое (сливочное)
ice up                                   обледенеть
iceberg                                  айсберг
iceboat                                  буер (парусные сани)
iceland                                  исландия
icelander                                исландец,исландка
icelandic                                исландский,исландский язык
icicle                                   сосулька
icing                                    сахарная глазурь
icon                                     икона,изображение
icon                                     пиктограмма
iconoclast                               иконоборец,бунтарь
icy                                      ледяной
idea                                     идея,мысль,понятие,намерение,цель
idea processor                           система обработки структурированных текстов;текстовая база данных
ideal                                    идеальный,идеал
idealism                                 идеализм
idealist                                 идеалист
idealize                                 идеализировать
idem                                     тот же автор,то же слово
identical                                тождественный,тотже самый
identification                           идентификация
identification                           отождествление,опознавание
identifications division                 раздел идентификации
identifier                               идентификатор, имя
identify                                 идентифицировать, распознавать; обозначать, именовать
identify                                 отождествлять,отождествляться,опознавать
identity                                 тождество
identity I                               единичный (например об элементе группы)
identity II                              тождественность,тождество,удостоверение личности
identity III                             отождествление,опознание,идентичность,подлинность
identity IV                              индивидуальность,конгруэнтность (фигур),природа
identity card                            удостоверение личности
ideological                              идеологический
ideologist                               идеолог
ideology                                 идеология
idiocy                                   идиотизм
idiom                                    идиома
idiot                                    идиот
idiotic                                  идиотский
idle I                                   лениться,бездельничать,работать вхолостую (тех)
idle II                                  ленивый,праздный,неработающий,незанятый,безполезный,тщетный
idle character                           холостой символ.Символ, передаваемый по линии связи в отстутствие сообщений
idle time                                время простоя, простой
idler                                    бездельник,лентяй
idol                                     кумир,идол
idolize                                  делать кумира,поклоняться,обожать
idyll                                    идиллия
ier                                      множитель
if                                       если,ли,если бы,будто,словно
igneous                                  огненный,вулканического происхождения (геол)
ignite                                   зажигать,загораться
ignoble                                  подлый,низкий
ignominious                              позорный
ignominy                                 позор,бесчестье
ignoramus                                невежда
ignorance                                невежество,неведение
ignorant                                 невежественный,несведущий
ignore                                   игнорировать
ignore                                   игнорировать; пропускать
ikon                                     икона,изображение
ilk                                      род (тот же)
ill                                      больной,дурной,нехороший,зло,несчастья,плохо,едва ли
ill advised                              неблагоразумный
ill bred                                 невоспитанный
ill considered                           необдуманный
ill fated                                злополучный
ill favoured                             некрасивый
ill gotten                               полученный нечестным путем
ill mannered                             невоспитанный
ill omened                               зловещий
ill spoken                               пользующийся дурной репутацией
ill starred                              несчастливый
ill tempered                             дурного нрава,раздражительный
ill timed                                несвоевременный
ill treat                                плохо обращаться
ill-conditioned                          плохо обусловленный; некорректный
illegal                                  нелегальный,незаконный
illegal character                        недопустимый символ
illegal instruction                      запрещенная команда
illegal symbol                           недопустимый символ
illegality                               незаконность
illegibility                             неразборчивость
illegible                                неразборчивый,нечеткий
illegitimate                             незаконный
illiberal                                ограниченный,скупой
illicit                                  незаконный,запрещенный
illimitable                              неограниченный
illiteracy                               грамотность
illiterate                               неграмотный
illness                                  болезнь
illogical                                нелогичный
illuminant                               источник света
illuminate                               освещать
illumination                             освещение,иллюминация
